target,start time (UTC),end time (UTC),duration (minutes),ra,dec,configuration,start_time_mjd,block_number,ra_hr
88_32_dither,2026-07-19 02:23:58.123,2026-07-19 02:25:38.123,1.666666666666714,210.14159827554067,-15.194805194805197,{'dither': True},61240.099978275466,5,14.009439885036048
Unused Time,2026-07-19 02:25:38.123,2026-07-19 02:27:18.123,1.6666666666659147,,,,61240.10113568287,5,
108_26,2026-07-19 02:27:18.123,2026-07-19 02:28:58.123,1.666666666666714,285.88235294117646,-29.220779220779225,{'dither': False},61240.102293090276,6,19.058823529411768
110_26,2026-07-19 02:28:58.123,2026-07-19 02:30:38.123,1.666666666666714,291.1764705882353,-29.220779220779225,{'dither': False},61240.103450497685,6,19.41176470588236
112_26,2026-07-19 02:30:38.123,2026-07-19 02:32:18.123,1.666666666666714,296.47058823529414,-29.220779220779225,{'dither': False},61240.104607905094,6,19.764705882352946
116_28,2026-07-19 02:32:18.123,2026-07-19 02:33:58.123,1.666666666666714,296.17021276595744,-24.545454545454543,{'dither': False},61240.1057653125,6,19.744680851063833
114_28,2026-07-19 02:33:58.123,2026-07-19 02:35:38.123,1.666666666666714,291.06382978723406,-24.545454545454543,{'dither': False},61240.106922719904,6,19.40425531914894
112_28,2026-07-19 02:35:38.123,2026-07-19 02:37:18.123,1.666666666666714,285.95744680851067,-24.545454545454543,{'dither': False},61240.10808012731,6,19.06382978723405
114_30,2026-07-19 02:37:18.123,2026-07-19 02:38:58.123,1.666666666666714,281.09589041095893,-19.870129870129876,{'dither': False},61240.10923753472,6,18.739726027397264
116_30,2026-07-19 02:38:58.123,2026-07-19 02:40:38.123,1.666666666666714,286.027397260274,-19.870129870129876,{'dither': False},61240.11039494213,6,19.068493150684937
118_30,2026-07-19 02:40:38.123,2026-07-19 02:42:18.123,1.666666666666714,290.95890410958907,-19.870129870129876,{'dither': False},61240.11155234954,6,19.39726027397261
120_32,2026-07-19 02:42:18.123,2026-07-19 02:43:58.123,1.666666666666714,289.9328859060403,-15.194805194805197,{'dither': False},61240.11270975695,6,19.328859060402692
118_32,2026-07-19 02:43:58.123,2026-07-19 02:45:38.123,1.666666666666714,285.1006711409396,-15.194805194805197,{'dither': False},61240.11386716435,6,19.006711409395976
